From	Entry
ZPBP	Q9BS86
ZPBP	C9JIS7
ZPBP	F8WDW2
FAM129B	Q96TA1
FAM129B	Q2YD88
ALDH8A1	Q9H2A2
ALDH8A1	E9PKV1
ALDH8A1	H0YF40
H2AFY	O75367
NT5DC3	Q86UY8
NT5DC3	H7C193
NT5DC3	H7C3S8
GPR150	Q8NGU9
DUSP27	Q5VZP5
DUSP27	Q68J44
FLG	P11362
FLG	P20930
FLG	I0B0K3
FLG	I0B0K4
FLG	I0B0K5
FLG	I0B0K6
FLG	I0B0K7
FLG	I0B0K8
FLG	L8E7P6
FLG	Q03837
FLG	Q03838
FLG	Q03839
FLG	Q15206
FLG	Q16824
FLG	Q4JFL9
C11orf84	Q9BUA3
ACRBP	Q8NEB7
ACRBP	A0A140VJD6
ACRBP	E7EP66
ACRBP	F5H2C2
ACRBP	F5H3P4
ACRBP	F5H5S8
RNF219	Q5W0B1
HAPLN4	Q86UW8
ZNF761	Q86XN6
ZNF761	A0A087WXU7
ZNF761	A0A087WYY7
ZNF761	A0A494C1D2
ZNF761	Q6IQ01
CRTAP	O75718
CRTAP	B4DPA3
CRTAP	C9JP16
C12orf43	Q96C57
C12orf43	E7ENF1
C12orf43	F5H3K2
C12orf43	F5H7W8
C12orf43	F5H8B7
C12orf43	G5EA44
C12orf43	H0YGK4
FAM198B	Q6UWH4
FAM198B	L8E9X9
H1FX	Q92522
IL17A	Q16552
IL17A	Q6NZ94
FGFR1OP	O95684
MKL1	Q969V6
MKL1	A4FUJ8
MKL1	B0QY84
MKL1	L8E8L9
MKL1	Q29R68
MKL1	W0Z7M9
MTSS1L	Q765P7
MTSS1L	Q8TB44
KIAA1468	Q9P260
KIAA1468	A0A024R2B0
KIAA1468	Q96ES0
ALKBH7	Q9BT30
ALKBH7	M0QZH2
ALKBH7	M0QZI0
CAPN7	Q9Y6W3
CAPN7	F8WCZ1
CAPN7	F8WDQ3
CAPN7	H7C0F1
CAPN7	H7C1B7
CAPN7	Q7Z479
ATP5H	O75947
ATP5H	A0PJH2
ATP5H	L8E9E1
HIST1H1B	P16401
RASAL1	O95294
RASAL1	A0A024RBK8
GRASP	Q7Z6J2
CENPBD1	B2RD01
ATG3	Q9NT62
ATG3	C9JNW8
ATG3	F8WDI0
C19orf57	Q0VDD7
C19orf57	L8EC49
CD97	P48960
GOLGA8N	F8WBI6
GOLGA8N	A0A1B0GV12
GOLGA8N	H3BMP0
KIAA1211L	Q6NV74
OTUD6B	Q8N6M0
OTUD6B	A0A087X0W9
OTUD6B	A0A0C4DH76
HLA-DPA1	P20036
HLA-DPA1	A0A0C7DV97
HLA-DPA1	A0A140C6V4
HLA-DPA1	A0A140EDI1
HLA-DPA1	A0A140EDI6
HLA-DPA1	A0A140T8Z9
HLA-DPA1	A0A140T900
HLA-DPA1	A0A140T909
HLA-DPA1	A0A140T914
HLA-DPA1	A0A140T944
HLA-DPA1	A0A140T961
HLA-DPA1	A0A140T968
HLA-DPA1	A0A140T977
HLA-DPA1	A0A140T980
HLA-DPA1	A0A140T989
HLA-DPA1	A0A140T992
HLA-DPA1	A0A140T9A6
HLA-DPA1	A0A140T9D6
HLA-DPA1	A0A140T9F8
HLA-DPA1	A0A140T9G4
HLA-DPA1	A0A140T9G7
HLA-DPA1	A0A140T9G9
HLA-DPA1	A0A140T9H1
HLA-DPA1	A0A140T9J4
HLA-DPA1	A0A140T9M7
HLA-DPA1	A0A140T9M9
HLA-DPA1	A0A140T9R4
